"date","ca","ca_name","hb","hb_name","y","m","julian","total.a","lt4","gt4","pc.lt4","pc.gt4","size_type","GPs_Count","num.practices","list.size"
2023-06-11,"S12000013","Na h-Eileanan Siar","S08000028","NHS Western Isles",2023,6,3031,128,128,0,1,0,"Small",32,9,27108
2023-06-11,"S12000014","Falkirk","S08000019","NHS Forth Valley",2023,6,3031,1288,767,521,0.595496894409938,0.404503105590062,"Medium",133,23,151422
2023-06-11,"S12000017","Highland","S08000022","NHS Highland",2023,6,3031,1242,960,282,0.772946859903382,0.227053140096618,"Large",307,62,246844
2023-06-11,"S12000018","Inverclyde","S08000031","NHS Greater Glasgow and Clyde",2023,6,3031,644,542,102,0.841614906832298,0.158385093167702,"Small",66,13,80797
2023-06-11,"S12000020","Moray","S08000020","NHS Grampian",2023,6,3031,584,440,144,0.753424657534247,0.246575342465753,"Medium",96,12,95988
2023-06-11,"S12000023","Orkney Islands","S08000025","NHS Orkney",2023,6,3031,135,114,21,0.844444444444444,0.155555555555556,"Small",44,7,22308
2023-06-11,"S12000026","Scottish Borders","S08000016","NHS Borders",2023,6,3031,620,421,199,0.679032258064516,0.320967741935484,"Medium",112,22,121588
2023-06-11,"S12000027","Shetland Islands","S08000026","NHS Shetland",2023,6,3031,196,186,10,0.948979591836735,0.0510204081632653,"Small",30,9,22934
2023-06-11,"S12000028","South Ayrshire","S08000015","NHS Ayrshire and Arran",2023,6,3031,626,445,181,0.710862619808307,0.289137380191693,"Medium",109,19,118885
2023-06-11,"S12000029","South Lanarkshire","S08000032","NHS Lanarkshire",2023,6,3031,1249,737,512,0.590072057646117,0.409927942353883,"Large",236,47,349572
2023-06-11,"S12000033","Aberdeen City","S08000020","NHS Grampian",2023,6,3031,1451,839,612,0.578221915920055,0.421778084079945,"Large",210,27,263499
2023-06-11,"S12000035","Argyll and Bute","S08000022","NHS Highland",2023,6,3031,202,189,13,0.935643564356436,0.0643564356435644,"Medium",109,29,90471
2023-06-11,"S12000036","City of Edinburgh","S08000024","NHS Lothian",2023,6,3031,3350,2305,1045,0.688059701492537,0.311940298507463,"Large",613,70,605280
2023-06-11,"S12000038","Renfrewshire","S08000031","NHS Greater Glasgow and Clyde",2023,6,3031,1174,745,429,0.63458262350937,0.36541737649063,"Medium",160,28,191197
2023-06-11,"S12000040","West Lothian","S08000024","NHS Lothian",2023,6,3031,1171,836,335,0.713919726729291,0.286080273270709,"Medium",155,20,205661
2023-06-11,"S12000042","Dundee City","S08000030","NHS Tayside",2023,6,3031,1146,1047,99,0.913612565445026,0.0863874345549738,"Medium",163,22,175407
2023-06-11,"S12000047","Fife","S08000029","NHS Fife",2023,6,3031,1332,932,400,0.6996996996997,0.3003003003003,"Large",297,52,394668
2023-06-11,"S12000048","Perth and Kinross","S08000030","NHS Tayside",2023,6,3031,496,444,52,0.895161290322581,0.104838709677419,"Medium",164,23,154020
2023-06-11,"S12000049","Glasgow City","S08000031","NHS Greater Glasgow and Clyde",2023,6,3031,5194,3592,1602,0.691567192914902,0.308432807085098,"Large",617,142,786174
2023-06-11,"S12000050","North Lanarkshire","S08000032","NHS Lanarkshire",2023,6,3031,2848,1717,1131,0.602879213483146,0.397120786516854,"Large",200,50,355462
2023-06-18,"S12000006","Dumfries and Galloway","S08000017","NHS Dumfries and Galloway",2023,6,3038,1019,829,190,0.813542688910697,0.186457311089303,"Medium",126,32,156579
2023-06-18,"S12000008","East Ayrshire","S08000015","NHS Ayrshire and Arran",2023,6,3038,1335,853,482,0.638951310861423,0.361048689138577,"Medium",108,15,125018
2023-06-18,"S12000013","Na h-Eileanan Siar","S08000028","NHS Western Isles",2023,6,3038,128,127,1,0.9921875,0.0078125,"Small",32,9,27108
2023-06-18,"S12000014","Falkirk","S08000019","NHS Forth Valley",2023,6,3038,1182,682,500,0.576988155668359,0.423011844331641,"Medium",133,23,151422
2023-06-18,"S12000017","Highland","S08000022","NHS Highland",2023,6,3038,1343,1022,321,0.760982874162323,0.239017125837677,"Large",307,62,246844
2023-06-18,"S12000018","Inverclyde","S08000031","NHS Greater Glasgow and Clyde",2023,6,3038,629,521,108,0.828298887122417,0.171701112877583,"Small",66,13,80797
2023-06-18,"S12000020","Moray","S08000020","NHS Grampian",2023,6,3038,609,476,133,0.781609195402299,0.218390804597701,"Medium",96,12,95988
2023-06-18,"S12000023","Orkney Islands","S08000025","NHS Orkney",2023,6,3038,166,151,15,0.909638554216867,0.0903614457831325,"Small",44,7,22308
2023-06-18,"S12000026","Scottish Borders","S08000016","NHS Borders",2023,6,3038,644,488,156,0.75776397515528,0.24223602484472,"Medium",112,22,121588
2023-06-18,"S12000027","Shetland Islands","S08000026","NHS Shetland",2023,6,3038,165,142,23,0.860606060606061,0.139393939393939,"Small",30,9,22934
2023-06-18,"S12000028","South Ayrshire","S08000015","NHS Ayrshire and Arran",2023,6,3038,632,402,230,0.636075949367089,0.363924050632911,"Medium",109,19,118885
2023-06-18,"S12000029","South Lanarkshire","S08000032","NHS Lanarkshire",2023,6,3038,1268,703,565,0.554416403785489,0.445583596214511,"Large",236,47,349572
2023-06-18,"S12000033","Aberdeen City","S08000020","NHS Grampian",2023,6,3038,1502,834,668,0.55525965379494,0.44474034620506,"Large",210,27,263499
2023-06-18,"S12000035","Argyll and Bute","S08000022","NHS Highland",2023,6,3038,204,192,12,0.941176470588235,0.0588235294117647,"Medium",109,29,90471
2023-06-18,"S12000036","City of Edinburgh","S08000024","NHS Lothian",2023,6,3038,3595,2257,1338,0.627816411682893,0.372183588317107,"Large",613,70,605280
2023-06-18,"S12000038","Renfrewshire","S08000031","NHS Greater Glasgow and Clyde",2023,6,3038,1256,703,553,0.559713375796178,0.440286624203822,"Medium",160,28,191197
2023-06-18,"S12000040","West Lothian","S08000024","NHS Lothian",2023,6,3038,1216,777,439,0.638980263157895,0.361019736842105,"Medium",155,20,205661
2023-06-18,"S12000042","Dundee City","S08000030","NHS Tayside",2023,6,3038,1137,1058,79,0.93051890941073,0.06948109058927,"Medium",163,22,175407
2023-06-18,"S12000047","Fife","S08000029","NHS Fife",2023,6,3038,1448,1105,343,0.763121546961326,0.236878453038674,"Large",297,52,394668
2023-06-18,"S12000048","Perth and Kinross","S08000030","NHS Tayside",2023,6,3038,501,459,42,0.916167664670659,0.0838323353293413,"Medium",164,23,154020
2023-06-18,"S12000049","Glasgow City","S08000031","NHS Greater Glasgow and Clyde",2023,6,3038,5128,3538,1590,0.6899375975039,0.3100624024961,"Large",617,142,786174
2023-06-18,"S12000050","North Lanarkshire","S08000032","NHS Lanarkshire",2023,6,3038,2893,1831,1062,0.632907016937435,0.367092983062565,"Large",200,50,355462
2023-06-25,"S12000006","Dumfries and Galloway","S08000017","NHS Dumfries and Galloway",2023,6,3045,1006,828,178,0.823061630218688,0.176938369781312,"Medium",126,32,156579
2023-06-25,"S12000008","East Ayrshire","S08000015","NHS Ayrshire and Arran",2023,6,3045,1224,914,310,0.746732026143791,0.253267973856209,"Medium",108,15,125018
2023-06-25,"S12000013","Na h-Eileanan Siar","S08000028","NHS Western Isles",2023,6,3045,148,146,2,0.986486486486487,0.0135135135135135,"Small",32,9,27108
2023-06-25,"S12000014","Falkirk","S08000019","NHS Forth Valley",2023,6,3045,1217,591,626,0.485620377978636,0.514379622021364,"Medium",133,23,151422
2023-06-25,"S12000017","Highland","S08000022","NHS Highland",2023,6,3045,1323,969,354,0.732426303854875,0.267573696145125,"Large",307,62,246844
2023-06-25,"S12000018","Inverclyde","S08000031","NHS Greater Glasgow and Clyde",2023,6,3045,646,498,148,0.770897832817337,0.229102167182663,"Small",66,13,80797
2023-06-25,"S12000020","Moray","S08000020","NHS Grampian",2023,6,3045,618,476,142,0.770226537216828,0.229773462783172,"Medium",96,12,95988
2023-06-25,"S12000023","Orkney Islands","S08000025","NHS Orkney",2023,6,3045,119,111,8,0.932773109243697,0.0672268907563025,"Small",44,7,22308
2023-06-25,"S12000026","Scottish Borders","S08000016","NHS Borders",2023,6,3045,636,411,225,0.64622641509434,0.35377358490566,"Medium",112,22,121588
2023-06-25,"S12000027","Shetland Islands","S08000026","NHS Shetland",2023,6,3045,192,162,30,0.84375,0.15625,"Small",30,9,22934
2023-06-25,"S12000028","South Ayrshire","S08000015","NHS Ayrshire and Arran",2023,6,3045,671,447,224,0.666169895678092,0.333830104321908,"Medium",109,19,118885
2023-06-25,"S12000029","South Lanarkshire","S08000032","NHS Lanarkshire",2023,6,3045,1264,698,566,0.552215189873418,0.447784810126582,"Large",236,47,349572
2023-06-25,"S12000033","Aberdeen City","S08000020","NHS Grampian",2023,6,3045,1484,857,627,0.577493261455526,0.422506738544474,"Large",210,27,263499
2023-06-25,"S12000035","Argyll and Bute","S08000022","NHS Highland",2023,6,3045,204,190,14,0.931372549019608,0.0686274509803922,"Medium",109,29,90471
2023-06-25,"S12000036","City of Edinburgh","S08000024","NHS Lothian",2023,6,3045,3499,2608,891,0.745355815947414,0.254644184052586,"Large",613,70,605280
2023-06-25,"S12000038","Renfrewshire","S08000031","NHS Greater Glasgow and Clyde",2023,6,3045,1217,925,292,0.760065735414955,0.239934264585045,"Medium",160,28,191197
2023-06-25,"S12000040","West Lothian","S08000024","NHS Lothian",2023,6,3045,1222,823,399,0.673486088379705,0.326513911620295,"Medium",155,20,205661
2023-06-25,"S12000042","Dundee City","S08000030","NHS Tayside",2023,6,3045,1214,1077,137,0.887149917627677,0.112850082372323,"Medium",163,22,175407
2023-06-25,"S12000047","Fife","S08000029","NHS Fife",2023,6,3045,1454,1026,428,0.705639614855571,0.294360385144429,"Large",297,52,394668
2023-06-25,"S12000048","Perth and Kinross","S08000030","NHS Tayside",2023,6,3045,481,432,49,0.898128898128898,0.101871101871102,"Medium",164,23,154020
2023-06-25,"S12000049","Glasgow City","S08000031","NHS Greater Glasgow and Clyde",2023,6,3045,4922,3167,1755,0.643437626980902,0.356562373019098,"Large",617,142,786174
2023-06-25,"S12000050","North Lanarkshire","S08000032","NHS Lanarkshire",2023,6,3045,2785,1655,1130,0.594254937163375,0.405745062836625,"Large",200,50,355462
